the_geom,GEOID,FSHRI,FVI_storm_surge_present,FVI_storm_surge_2050s,FVI_storm_surge_2080s,FVI_tidal_2020s,FVI_tidal_2050s,FVI_tidal_2080s,flood_risk_score
"MULTIPOLYGON (((-73.950216 40.81147800000001, -73.949313 40.81271100000001, -73.948832 40.81337, -73.948419 40.813937999999986, -73.947694 40.813636, -73.945568 40.81275199999999, -73.946031 40.81211899999999, -73.943172 40.810942, -73.943398 40.81063000000001, -73.943625 40.810317999999995, -73.944083 40.809692999999996, -73.944538 40.809071, -73.944994 40.808446, -73.947839 40.809641, -73.95068 40.81084299999999, -73.950216 40.81147800000001)))",36061022400,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.947461 40.787753, -73.947002 40.788383, -73.946555 40.788996, -73.946086 40.789637, -73.945636 40.790254, -73.943396 40.789308999999996, -73.941019 40.788319, -73.941937 40.787065, -73.942395 40.786438, -73.942855 40.785807999999996, -73.943319 40.785173999999984, -73.945696 40.78617299999999, -73.946128 40.78635599999999, -73.947924 40.787120999999985, -73.947461 40.787753)))",36061016400,1.0,3.0,4.0,3.0,0.0,0.0,0.0,4.24
"MULTIPOLYGON (((-73.940971 40.824132000000006, -73.940515 40.82475699999999, -73.940054 40.825378999999984, -73.93986 40.825647999999994, -73.939602 40.82600199999999, -73.939351 40.825897999999995, -73.936787 40.824811, -73.93722 40.824187999999985, -73.937673 40.823566, -73.938129 40.822934000000004, -73.935335 40.821749, -73.935745 40.82110599999999, -73.938586 40.82231, -73.941426 40.823507, -73.940971 40.824132000000006)))",36061023400,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.948792 40.79747799999999, -73.948311 40.798128999999996, -73.9467 40.79745, -73.945096 40.79676400000001, -73.946042 40.79546700000001, -73.947645 40.796157, -73.94922 40.79690999999999, -73.948792 40.79747799999999)))",36061017402,3.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.959147 40.801844, -73.95824900000001 40.803106999999976, -73.95820400000001 40.80389400000001, -73.957782 40.80372799999999, -73.956321 40.803115000000005, -73.956778 40.80248799999999, -73.957238 40.801858, -73.957696 40.801232000000006, -73.957993 40.80082699999999, -73.958195 40.800552999999994, -73.958835 40.800816000000005, -73.959647 40.80115599999999, -73.959147 40.801844)))",36061019702,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.931818 40.858270999999995, -73.931313 40.85932799999999, -73.930488 40.859486999999994, -73.92842 40.860242, -73.92733 40.860647, -73.926502 40.860956000000016, -73.925668 40.861259, -73.925146 40.861451, -73.924877 40.86154099999999, -73.925175 40.860308999999994, -73.92726600000002 40.857929, -73.928233 40.857168, -73.929726 40.857379, -73.931475 40.856851, -73.932631 40.85671599999999, -73.931818 40.858270999999995)))",36061028300,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.930082 40.85431, -73.929644 40.854907999999995, -73.929169 40.85555699999999, -73.928716 40.85618199999999, -73.928411 40.856606, -73.928266 40.85680800000001, -73.928233 40.857168, -73.92726600000002 40.857929, -73.92519200000001 40.858029, -73.924692 40.856642, -73.9268 40.853718, -73.927239 40.85311599999999, -73.927695 40.852488, -73.929147 40.85309999999999, -73.930539 40.853684999999984, -73.930082 40.85431)))",36061027700,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.982524 40.72327799999999, -73.982083 40.723881999999996, -73.98163700000002 40.72449399999999, -73.979281 40.723505, -73.976893 40.722498, -73.977346 40.721885, -73.977683 40.721419999999995, -73.978231 40.720674, -73.980607 40.72167799999998, -73.982964 40.722671, -73.982524 40.72327799999999)))",36061002601,2.0,3.0,4.0,4.0,0.0,0.0,0.0,4.24
"MULTIPOLYGON (((-73.993259 40.722353, -73.992604 40.724136, -73.991256 40.723723, -73.990274 40.723426, -73.989392 40.723174, -73.988643 40.722933, -73.98923 40.72167699999999, -73.989857 40.720533, -73.990629 40.72076599999999, -73.991506 40.721028000000004, -73.993523 40.721632, -73.993259 40.722353)))",36061003601,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-74.000891 40.713015000000006, -73.999157 40.713319, -73.99858400000001 40.713468, -73.997504 40.71406900000001, -73.997117 40.71279899999999, -73.996947 40.712072, -73.999514 40.711797999999995, -73.999701 40.711780000000005, -74.00051 40.71098400000001, -74.000873 40.711697, -74.000891 40.713015000000006)))",36061002700,5.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0
