GeoName,Total Hispanic,Total Black,Total Asian,Pop,% Hispanic,% Black,% Asian
,7696.3,1818.2,52.0,5894.0,130.5785544621649,30.848320325755008,0.8822531387852053
,4840.0,1732.9,187.0,4145.0,116.76718938480097,41.806996381182145,4.51145958986731
,7927.6,1906.3,0.0,5976.0,132.65729585006693,31.899263721552877,0.0
,4448.2,827.7,0.0,3118.0,142.6619627966645,26.54586273252085,0.0
,4872.2,1316.9,74.0,3911.0,124.57683456916388,33.67169521861417,1.8920992073638454
,5495.2,1180.6,3081.0,6271.0,87.62876734173179,18.826343485887417,49.13092010843565
,7367.3,1735.8,0.0,5551.0,132.72023058908303,31.27004143397586,0.0
,286.9,345.4,0.0,512.0,56.03515624999999,67.4609375,0.0
,2601.4,387.7,1285.0,2946.0,88.30278343516633,13.160217243720298,43.618465716225394
,6774.8,1521.3,970.0,5903.0,114.76876164662038,25.771641538200914,16.432322547857023
,0.0,0.0,0.0,0.0,,,
,5596.5,1628.3,0.0,4396.0,127.30891719745223,37.040491355777974,0.0
,1859.4,440.6,0.0,1554.0,119.65250965250966,28.352638352638355,0.0
,0.0,0.0,0.0,,,,
,2780.3,179.3,155.0,5324.0,52.22201352366642,3.3677685950413228,2.9113448534936137
,7412.8,1939.4,201.0,5703.0,129.9807119060144,34.00666315974049,3.5244608100999475
,3955.6,1166.1,0.0,3319.0,119.1804760470021,35.13407652907502,0.0
,2391.4,451.4,26.0,1616.0,147.98267326732676,27.93316831683168,1.608910891089109
,6074.0,1964.3,34.0,4766.0,127.44439781787662,41.21485522450693,0.7133864876206463
,4780.8,1874.2,0.0,4139.0,115.506160908432,45.28146895385359,0.0
,2962.7,517.7,0.0,2184.0,135.6547619047619,23.704212454212456,0.0
,5578.3,2072.3,0.0,4923.0,113.3109892342068,42.09425147267926,0.0
,1144.1,79.1,27.0,1198.0,95.5008347245409,6.602671118530884,2.2537562604340566
,6274.2,2160.4,28.0,5390.0,116.40445269016698,40.08163265306123,0.5194805194805194
,7245.3,1115.5,710.0,6652.0,108.9191220685508,16.769392663860494,10.673481659651232
,6786.0,2829.9,0.0,6064.0,111.90633245382587,46.667216358839056,0.0
,3825.0,2093.9,0.0,4001.0,95.60109972506872,52.33441639590103,0.0
,2051.9,80.5,91.0,3060.0,67.05555555555556,2.630718954248366,2.9738562091503264
,7285.0,4174.0,122.0,7344.0,99.19662309368191,56.83551198257081,1.661220043572985
,1710.7,1003.2,0.0,1898.0,90.13171759747102,52.85563751317176,0.0
,7679.0,2041.1,96.0,6046.0,127.0095931194178,33.75951042011247,1.587826662256037
,6822.3,4025.2,0.0,7055.0,96.70163004961022,57.05457122608079,0.0
,6106.5,3944.1,0.0,6361.0,95.999056752083,62.00440182361264,0.0
,5548.3,2647.0,0.0,5081.0,109.19700846290101,52.09604408580988,0.0
,5310.3,2033.3,0.0,4723.0,112.43489307643448,43.05102688968876,0.0
,5971.5,3265.1,0.0,5957.0,100.24341111297632,54.81114655027698,0.0
,2967.0,270.0,30.0,2593.0,114.42344774392595,10.412649440802161,1.1569610489780178
,3848.3,2414.4,84.0,4258.0,90.37811178957257,56.702677313292625,1.972757162987318
,4244.8,633.2,0.0,2891.0,146.82808716707024,21.902455897613287,0.0
,6067.4,2851.4,0.0,5542.0,109.48033201010465,51.4507398051245,0.0
,1398.7,47.1,32.0,1442.0,96.99722607489598,3.2662968099861307,2.219140083217753
,3801.4,468.1,27.0,2481.0,153.2204756146715,18.867392180572352,1.0882708585247884
,2818.7,113.7,145.0,4003.0,70.41468898326255,2.840369722707969,3.6222832875343496
,6241.9,2168.6,25.0,5243.0,119.05206942590118,41.36181575433911,0.4768262445164982
,1684.0,40.0,65.0,1908.0,88.25995807127882,2.0964360587002098,3.4067085953878404
,0.0,0.0,0.0,34.0,0.0,0.0,0.0
,1003.9,54.1,25.0,1221.0,82.21949221949222,4.430794430794431,2.0475020475020473
,955.9,715.9,0.0,1097.0,87.13764813126708,65.25979945305377,0.0
,2956.6,266.8,230.0,2625.0,112.63238095238096,10.163809523809524,8.761904761904763
,2775.9,2078.8,0.0,3373.0,82.29765787133117,61.63059590868664,0.0
,1142.7,995.0,0.0,1586.0,72.04918032786885,62.73644388398487,0.0
,0.0,0.0,0.0,10.0,0.0,0.0,0.0
,7361.2,2755.4,63.0,6395.0,115.10867865519938,43.08678655199375,0.9851446442533228
,7634.7,3493.4,27.0,6988.0,109.25443617630224,49.99141385231826,0.38637664567830565
,5197.1,2105.5,45.0,4754.0,109.32057214976862,44.28901977282288,0.9465713083718973
,5360.7,2258.6,57.0,4979.0,107.66619803173327,45.36252259489857,1.1448081944165494
,6896.9,1325.5,337.0,5124.0,134.5999219359875,25.86846213895394,6.576893052302888
,4071.9,1413.9,0.0,3447.0,118.12880765883378,41.01827676240209,0.0
,3423.7,1608.4,0.0,3299.0,103.77993331312518,48.75416792967566,0.0
,5300.6,2510.6,529.0,5510.0,96.19963702359348,45.56442831215971,9.600725952813068
,4456.5,1603.5,329.0,4423.0,100.7574044765996,36.25367397693873,7.438390232873616
,4032.6,1608.7,26.0,3686.0,109.40314704286489,43.64351600651112,0.705371676614216
,3656.6,213.9,305.0,4329.0,84.46754446754447,4.941094941094941,7.045507045507045
,2558.7,1878.1,0.0,3076.0,83.18270481144343,61.05656697009102,0.0
,6741.2,3304.6,0.0,6442.0,104.64452033529959,51.297733623098416,0.0
,10316.0,2907.3,25.0,8360.0,123.39712918660285,34.776315789473685,0.29904306220095694
,7037.0,2481.5,0.0,6020.0,116.89368770764119,41.22093023255814,0.0
,2349.8,312.8,59.0,2022.0,116.21167161226509,15.46983184965381,2.917903066271019
,8827.0,3213.2,30.0,7509.0,117.55227060860301,42.79131708616327,0.3995205753096284
,8726.5,1990.0,1049.0,7213.0,120.98294745598226,27.589075280743103,14.543185914321363
,10775.6,2598.5,0.0,7909.0,136.24478442280946,32.854975344544194,0.0
,4354.5,552.3,3434.0,5235.0,83.18051575931233,10.550143266475644,65.59694364851958
,5244.0,1685.8,0.0,4345.0,120.69044879171462,38.79861910241657,0.0
,2524.5,118.1,1373.0,2789.0,90.51631409107208,4.234492649695231,49.22911437791323
,3243.4,339.5,1264.0,3129.0,103.65612016618728,10.850111856823267,40.39629274528603
,9645.2,3349.2,0.0,7859.0,122.72808245323834,42.61610891970988,0.0
,3066.7,986.5,0.0,2462.0,124.56133225020307,40.06904955320877,0.0
,2787.5,325.7,1808.0,3277.0,85.06255721696674,9.938968568812937,55.172413793103445
,6001.8,1813.9,0.0,4823.0,124.4412191582003,37.609371760315156,0.0
,5861.0,5197.3,2447.0,8946.0,65.5153141068634,58.09635591325733,27.353006930471718
,4728.4,4300.0,3143.0,7855.0,60.19605346912794,54.7422024188415,40.01273074474857
,6930.0,2514.4,0.0,5822.0,119.03126073514257,43.187907935417385,0.0
,3059.8,2549.9,4901.0,6596.0,46.38872043662826,38.65827774408733,74.30260764099455
,1820.5,264.4,0.0,1264.0,144.02689873417722,20.91772151898734,0.0
