Borough,Pop,Total Hispanic,Total Black,Total Asian,% Hispanic,% Black,% Asian
Manhattan,6782.0,2087.4,,2849.0,30.7785314066647,,42.008257151282805
Manhattan,11882.0,1497.6,,2103.0,12.60393873085339,,17.699040565561354
Manhattan,5504.0,2651.4,,2203.0,48.17223837209303,,40.02543604651162
Manhattan,6358.0,2681.4,,2812.0,42.173639509279646,,44.227744573765335
Manhattan,1962.0,23.1,,71.0,1.1773700305810397,,3.6187563710499493
Manhattan,5070.0,568.1,,849.0,11.205128205128204,,16.745562130177515
Manhattan,4387.0,157.4,,580.0,3.587873261910189,,13.220879872350125
Manhattan,5057.0,465.2,,841.0,9.199129918924264,,16.630413288510976
Manhattan,7308.0,1171.9,,2261.0,16.03585112205802,,30.938697318007662
Manhattan,13109.0,1443.9,,2734.0,11.014570142650088,,20.85590052635594
Manhattan,9988.0,2070.4,,3294.0,20.728874649579495,,32.97957549058871
Manhattan,8050.0,750.2,,1043.0,9.319254658385095,,12.956521739130435
Manhattan,4463.0,238.2,,264.0,5.337217118530137,,5.9153036074389425
Manhattan,129.0,0.0,,0.0,0.0,,0.0
Manhattan,5040.0,401.8,,743.0,7.972222222222222,,14.742063492063492
Manhattan,7151.0,919.6,,1301.0,12.859739896517969,,18.193259683960285
Manhattan,7532.0,1167.2,,2810.0,15.496548061603823,,37.30748805098247
Manhattan,4481.0,194.2,,938.0,4.333854050435171,,20.932827493862977
Manhattan,9061.0,1047.5,,2009.0,11.560534157377774,,22.171945701357465
Manhattan,2987.0,159.1,,1587.0,5.326414462671577,,53.13023100100436
Manhattan,3221.0,23.7,,679.0,0.7357963365414467,,21.08040981061782
Manhattan,7494.0,589.8,,1276.0,7.87029623698959,,17.026954897251134
Manhattan,6351.0,397.2,,1194.0,6.254133207368919,,18.80018894662258
Manhattan,2321.0,22.9,,212.0,0.9866436880654891,,9.13399396811719
Manhattan,5642.0,294.1,,441.0,5.2126905352711805,,7.816377171215881
Manhattan,3756.0,3098.4,,687.0,82.49201277955271,,18.29073482428115
Manhattan,8254.0,2148.8,,3604.0,26.033438332929492,,43.663678216622245
Manhattan,7730.0,2852.6,,1429.0,36.902975420439844,,18.486416558861578
